Name;Synonym;Text
Наволоцкая поляна;наволоцкая поляна;Пахотная поляна в устье Пижейручья.
Галайские пожни;галайские пожни;покосы на юге острова Галайский, см. Галайский Остров
Pahag’ärv;pahagärv;Маленькое озерко за хутором Poh'd'ad'g', между оз. Sar'gär'v и Vougedg'är'v.
Sod’järvt’e;sodjärvte;Поляны по дороге в дер. Сидорово.
Piirdoinkodi;piirdoinkodi;Дом в дер. Койвусельга, фам. Михайлов.
Koop’;koop;Река Колпь, вытекает из оз. Jokšar'v, течет в Вологодск. обл.
Дальнее поле;дальнее поле;Поле находится в 600-700 м на востоке д.Каскосельга.
Vas’aborunalso;vasaborunalso;
Timošinhongalon;timošinhongalon;Урочище, в котором , по сведениям информатора, в 30-х годах упала сосна. Тут болото.
D’akovans’üudaižed;dakovansüudaižed;Покос у мостков через болото ( дер. Slabad).
Čern’eckiimägi;černeckiimägi;Гора у оз. Čern'eckiig'är'f, за дер. Селище.
Pohjatomg’är’f;pohjatomgärf;Озерко за р. Ивадой, у бол. Levahtso.
У Средней Дороги;у средней дороги;Сельхоз. поляны в Загубье, у тропы в Липовицы.
Kül’mäzoja;külmäzoja;
Карпинский Обод;карпинский обод;Пожня на с/в от деревни, в направлении Типиниц, вытянута с севера на юг, перед обширным болотом.
Obromoinkodi;obromoinkodi;Дом в дер. Четчойла.
Комлевуха;комлевуха;Поляна, расположенная в 1,5 км юго-западнее д.Вороний Остров, "посередине между дорогой (на д.Типиницы) и Онежским озером".
Большая Избушка;большая избушка;Поле в 1км на север от д.Вороний Остров. Рядом Малая Избушка.
Kor’bn’üut;korbnüut;Покос по ручью Kor'boja.
Sarso;sarso;Болото у оз. Sard'är'f.
Munavič;munavič;Пожога за урочищем Rustadm'äged.
Solahtkar;solahtkar;На озере Сарозеро.
Pitkülambi;pitkülambi;Ламба в 1,5 км на север от дер. Сеппяваара в сторону дер. Варлов Лес.
Липова Сельга;липова сельга;Лесное урочище в болота Узкие мошки, в истоках ручья, впадающего в Калейгубу в урочище Уромы.
Габнаволок;габнаволок;Поле на одноименном мысу, юго-запад Красного поля д.Сибово.
Елтово;елтово;Мыс на южном берегу оз.Кемское, прежде была деревня
Боровуха;боровуха;Ручей в 1,8 км к северо-востоку от д.Сибово.
Олений остров;олений остров;Один из островов в Красном поле, юго-западнее д.Сибово.
Kukoim’ägi;kukoimägi;Покос на р. Большая Сенатка.
Semoja;semoja;Покос в урочище Šidroja.
Большой Марьин остров;большой марьин остров;Ближайший из группы островов на юго-востоке от южной оконечности о.Вигово, в 500 м от берега.
Vaagedso;vaagedso;Болото (дер. Перелесок), примыкающее к оз. Vaagedjär'v.
Sen’kampüud;senkampüud;Покос (дер. Aksintanaz) за урочищем N'ekojain'e.
Korgedmägi;korgedmägi;Поле (дер. Aksintanaz).
Барановский Бор;барановский бор;Покосы.
Яндома;яндома;Река, вытекающая из оз. Яндомозеро в южной его части, протекающая на юго-восток и впадающая в Онежское озеро, в губу с восточной стороны д. Усть-Яндома.
Čorg’är’f;čorgärf;Озеро (басс. р. Иводы), в 2 км. от дер. Пустошка.
Kodalambi;kodalambi;Ламба в 2,3 км на с/з от дер. Сеппяваара в сторону дер. Воронова Сельга.
Hir’kočk;hirkočk;
Pohtad;pohtad;Покос (дер. Панкратово) на берегу оз. Sepad'är'v.
Mustoja;mustoja;Ручей, течет из оз. Sagažg'är'v в оз. S'epatg'är, название связывают  с тем, что "oja astub korbedm'e, pimedas sijas".
Колпаковская поляна;колпаковская поляна; Поляна из группы полян, расположенных в 100 м от южной оконечности д. Саньки.
Viel’järvenvalgamo;vieljärvenvalgamo;Часть оз. Нинисельгское, где купались.
Ромашкино поле;ромашкино поле; Полянка на западе д. Углевщина.
Ридсельга;ридсельга;Деревня (бывшая) на с/в от Типиниц, на высоком месте.
Munikso;munikso;Болото по направлению к дер. Бор, по сведениям информатора "Mat'er'eiso".
Заручей;заручей;Пахотная поляна на северной окраине деревни, у ручья, впадающего в Онежское озеро.
Подводная луда;подводная луда;Луда на Яндомозере у Карельских островов.
Kalaidejanhoumeh;kalaidejanhoumeh;Бывший пожог в урочище Kalaidai.
Курбозеро;курбозеро;см. Корбозеро
Makoi;makoi;Бывший хутор у дер. Laht (Лахта).
Виднаволок;виднаволок; Покос на Яндомозере, см. Виднаволок - мыс.
Корбозерская Дорога;корбозерская дорога;Пахотная поляна в лесу, у дороги на Корбозеро.
Hokanluhtu;hokanluhtu;Часть пруда Luhtu, по хозяину дома.
Hubasar’;hubasar;Остров на озере Sar'jar'v.
Jovevšuaran suuripeldo;jovevšuaran suuripeldo;Поле в дер. Тигвера рядом с местом слияния рек Тигверки и Тулосозера.
Melliččusildu;melliččusildu;Мост через реку Тигверку.
Trošoinsiid;trošoinsiid;Урочище вокруг моста.
Huhtii;huhtii;С/х угодье (поляны), бывшие подсеки, в лесу.
Rogjär’v;rogjärv;Озеро по направлению к Пелушам, в стороне от дороги.
Красильниковщина;красильниковщина;Пахотная поляна к северу от деревни, у Лельреки.
Пески;пески;Поле к северу от Педейнаволока, на берегу залива Великая Губа.
Rihakod;rihakod;Бывшая деревня Подовинники.
Šoudjärv;šoudjärv;Исток ручья Šoudoja.
Mel’n’icso;melnicso;Болото в 2 км. от дер., в истоках ручья Mel'n'icojain'e.
Haraglaht;haraglaht;Деревня за дер. Нойдала.
Осинова Сельга;осинова сельга;Поляна к с/в от д.Поля в 1,5 км, на высоком месте.
Rihoja;rihoja;Покос на р. Šalg'ögi, при впадении ручья Rihoja, выше моста Lava.
Makoo;makoo;Бывшая деревня у Лахты.
Марковская присталь;марковская присталь;Место на западном берегу Яндомозера, куда приставали на лодках едущие из Марковщины в Великую Губу.
Карельская пожня;карельская пожня;Покос на берегу Виговской губы, между Педейнаволоком и устьем Лейреки.
Принадлежал семье наиболее богатых купцов Корельских. Поселок купца Корельского при д.Вигово.
Jar’v;jarv;
Большая пожня;большая пожня;Болотистый сенокос к западу от урочища Кумбыша, у Ушового моста. С севера к нему примыкает Северница и Безрукий Обод.
Pert’g’är’v;pertgärv;Озеро по Пустынской дороге в направлении Сяргозера.
Baz’egg’ögi;bazeggögi;Река, впадает в р. Шолу, ниже р. Сепатки.
Kirikoo;kirikoo;Местность в дер. Сидорово.
Пистеревщина;пистеревщина; Покос, 1,5 км к востоку от д. Усть-Яндома, по дороге в Типиницы, перед Глубоким Ручьем.
Одна из полян Средняя Пихтеревщина.
Karpičoo/haamez;karpičoo/haamez;Урочище (лесное), где росли грибы (дер. Сташково Радогощенский с/с).
N’ämišso;nämišso;
Масельга;масельга;Бывшая деревня на водоразделе, на высоком месте.
Starinmägi;starinmägi;Горка у озера в деревне на месте нового колодца.
Суйнаволок;суйнаволок;Поле на мысу, вдающемсяс юга в болото напротив д. Задняя.
Ехова Нива;ехова нива;Пожня
Lidnag’ärvenoja;lidnagärvenoja;Ручей, течет из оз. Lidnag'är'v.
Лазнаволок;лазнаволок;Мыс, расположенный в 0,5 км на север от о.Вороний.
Подрюга;подрюга;Место рыбной ловли в Великой губе, 1,5 км на запад от д.Вигово.
Долгий Мост;долгий мост; Покосы, 2 км на север от Марковщины, по дороге в Мягкую Сельгу (Космозерский с/с), у болотины, через которую сделаны мостки.
Корытово;корытово;Озеро (ламба) в деревне.
Поповщина;поповщина;покос, 0.5 км на юго-запад от д. Истомино, на мысу Саньковский Наволок
Šund’är’v sur’;šundärv sur;Озеро в 3 верстах от дер (басс. р Колпь).
Mihkalinsuo;mihkalinsuo;Болото в 0, 5 км на с/в от дер. Четчойла
Наволок;наволок;Пожня
Нулица;нулица;Река, находится в 300 м от д.Типиницы на запад.Вытекает из болота у д. Холмы, впадает в Типиницкий залив.
По реке покосы Нулица
Kad’voso;kadvoso;Болото в 3 км. от дер. Turžin.
Гора;гора;Центральная часть д.Типиницы, на горке
Edembiižedzapol’kad;edembiižedzapolkad;
Угол;угол;Пахотная полоса.
